Type	Prefix	LocalFile	label	filename	md5	timestamp
Genome	Pipcy2	download/Piptocephalidaceae/Piptocephalis_cylindrospora/Piptocephalis_cylindrospora.Pipcy2.v2.assembly.fasta.gz	Piptocephalis cylindrospora v2.0	Pipcy2_AssemblyScaffolds.fasta.gz	b4d93a02801bf0bd483a3d14733a86cb	Wed Aug 28 01:30:11 PDT 2013
Genome	Rambr1	download/Kickxellaceae/Ramicandelaber_brevisporus/Ramicandelaber_brevisporus.Rambr1.v1.assembly.fasta.gz	Ramicandelaber brevisporus CBS 109374 v1.0	Rambr1_AssemblyScaffolds.fasta.gz		Mon Sep 29 23:32:01 PDT 2014
Genome	Umbra1	download/Mucoraceae/Umbelopsis_ramanniana/Umbelopsis_ramanniana.Umbra1.v1.assembly.fasta.gz	Umbelopsis ramanniana AG # v1.0	Umbra1_AssemblyScaffolds.fasta.gz	4b56bc4f82b3d8aaca36242c1efa0213	Fri Nov 09 11:34:54 PST 2012
Proteins	Bacci1	download/Thamnidiaceae/Backusella_circina/Backusella_circina.Bacci1.v1.aa.fasta.gz	Backusella circina FSU 941 v1.0	Bacci1_GeneCatalog_proteins_20130730.aa.fasta.gz	38054b92673c053aed9a8e8120d2bcb7	Tue Jul 30 14:18:02 PDT 2013
Proteins	Bacci1	download/Thamnidiaceae/Backusella_circina/Backusella_circina.Bacci1.v1.gff3.gz	Backusella circina FSU 941 v1.0	Bacci1.filtered_proteins.FilteredModels1.gff3.gz		Mon Jul 07 21:29:09 PDT 2014
Proteins	Coere1	download/Kickxellaceae/Coemansia_reversa/Coemansia_reversa.Coere1.v1.aa.fasta.gz	Coemansia reversa NRRL 1564 v1.0	Coere1_GeneCatalog_proteins_20110909.aa.fasta.gz	afed468e3621bbc638f4b96bea913d0e	Wed Mar 07 16:33:49 PST 2012
Proteins	Coere1	download/Kickxellaceae/Coemansia_reversa/Coemansia_reversa.Coere1.v1.gff3.gz	Coemansia reversa NRRL 1564 v1.0	Coere1.filtered_proteins.FilteredModels1.gff3.gz		Mon Jul 07 23:39:18 PDT 2014
Proteins	Conco1	download/Ancylistaceae/Conidiobolus_coronatus/Conidiobolus_coronatus.Conco1.v1.aa.fasta.gz	Conidiobolus coronatus NRRL28638 v1.0	Conco1_GeneCatalog_proteins_20120213.aa.fasta.gz	2fff7437fead08ed154cf2b151f51496	Wed Mar 07 16:34:09 PST 2012
Proteins	Conco1	download/Ancylistaceae/Conidiobolus_coronatus/Conidiobolus_coronatus.Conco1.v1.gff3.gz	Conidiobolus coronatus NRRL28638 v1.0	Conco1.filtered_proteins.FilteredModels1.gff3.gz		Mon Jul 07 23:41:20 PDT 2014
Proteins	Conth1	download/Ancylistaceae/Conidiobolus_thromboides/Conidiobolus_thromboides.Conth1.v1.aa.fasta.gz	Conidiobolus thromboides FSU 785 v1.0	Conth1_GeneCatalog_proteins_20141003.aa.fasta.gz		Fri Oct 03 05:27:02 PDT 2014
Proteins	Gloin1	download/Glomeraceae/Rhizophagus_irregularis/Rhizophagus_irregularis.Gloin1.v1.aa.fasta.gz	Rhizophagus irregularis DAOM 181602 v1.0	Gloin1_GeneCatalog_proteins_20120510.aa.fasta.gz	2e8ae94adeac6d7eae70f44c8d275177	Thu May 10 09:27:47 PDT 2012
Proteins	Gloin1	download/Glomeraceae/Rhizophagus_irregularis/Rhizophagus_irregularis.Gloin1.v1.gff3.gz	Rhizophagus irregularis DAOM 181602 v1.0	Gloin1.filtered_proteins.FilteredModels1.gff3.gz		Tue Jul 08 03:27:25 PDT 2014
Proteins	Lichy1	download/Lichtheimiaceae/Lichtheimia_hyalospora/Lichtheimia_hyalospora.Lichy1.v1.aa.fasta.gz	Lichtheimia hyalospora v1.0	Lichy1_GeneCatalog_proteins_20130506.aa.fasta.gz	3e92a1ba989f219066a9ba643384ec9b	Mon May 06 11:53:55 PDT 2013
Proteins	Lichy1	download/Lichtheimiaceae/Lichtheimia_hyalospora/Lichtheimia_hyalospora.Lichy1.v1.gff3.gz	Lichtheimia hyalospora v1.0	Lichy1.filtered_proteins.FilteredModels1.gff3.gz		Tue Jul 08 09:02:06 PDT 2014
Proteins	Marpt1	download/Kickxellaceae/Martensiomyces_pterosporus/Martensiomyces_pterosporus.Marpt1.v1.aa.fasta.gz	Martensiomyces pterosporus CBS 209.56 v1.0	Marpt1_GeneCatalog_proteins_20140919.aa.fasta.gz		Fri Sep 19 14:59:07 PDT 2014
Proteins	Morel1	download/Mortierellaceae/Mortierella_elongata/Mortierella_elongata.Morel1.v1.aa.fasta.gz	Mortierella elongata v1.0	Morel1_GeneCatalog_proteins_20120920.aa.fasta.gz	6bed545d575bd6d311cdb0c5e6134f9d	Thu Sep 20 17:11:39 PDT 2012
Proteins	Morel1	download/Mortierellaceae/Mortierella_elongata/Mortierella_elongata.Morel1.v1.gff3.gz	Mortierella elongata v1.0	Morel1.filtered_proteins.FilteredModels1.gff3.gz		Tue Jul 08 10:24:49 PDT 2014
Proteins	Mucci2	download/Mucoraceae/Mucor_circinelloides/Mucor_circinelloides.Mucci2.v2.aa.fasta.gz	Mucor circinelloides CBS277.49 v2.0	Mucor_circinelloides_v2_filtered_proteins.fasta.gz	dddff88e14f5fb187b6d1b94327e2aab	Wed Mar 07 16:52:00 PST 2012
Proteins	Mucci2	download/Mucoraceae/Mucor_circinelloides/Mucor_circinelloides.Mucci2.v2.gff3.gz	Mucor circinelloides CBS277.49 v2.0	Mucci2.filtered_proteins.FilteredModels1.gff3.gz		Tue Jul 08 10:33:39 PDT 2014
Proteins	Phybl2	download/Phycomycetaceae/Phycomyces_blakesleeanus/Phycomyces_blakesleeanus.Phybl2.v2.aa.fasta.gz	Phycomyces blakesleeanus NRRL1555 v2.0	Phycomyces_blakesleeanus_v2_filtered_proteins.fasta.gz	80c1322318c88ca8209391126a236d14	Wed Mar 07 16:56:13 PST 2012
Proteins	Phybl2	download/Phycomycetaceae/Phycomyces_blakesleeanus/Phycomyces_blakesleeanus.Phybl2.v2.gff3.gz	Phycomyces blakesleeanus NRRL1555 v2.0	Phybl2.filtered_proteins.FilteredModels3.gff3.gz		Tue Jul 08 13:12:09 PDT 2014
Proteins	Pipcy2	download/Piptocephalidaceae/Piptocephalis_cylindrospora/Piptocephalis_cylindrospora.Pipcy2.v2.aa.fasta.gz	Piptocephalis cylindrospora v2.0	Pipcy2_GeneCatalog_proteins_20130828.aa.fasta.gz	afd2a135442f38cdcf14bd9bd391c0ac	Wed Aug 28 01:30:12 PDT 2013
Proteins	Pipcy2	download/Piptocephalidaceae/Piptocephalis_cylindrospora/Piptocephalis_cylindrospora.Pipcy2.v2.gff3.gz	Piptocephalis cylindrospora v2.0	Pipcy2.filtered_proteins.FilteredModels1.gff3.gz		Tue Jul 08 13:28:13 PDT 2014
Proteins	Rambr1	download/Kickxellaceae/Ramicandelaber_brevisporus/Ramicandelaber_brevisporus.Rambr1.v1.aa.fasta.gz	Ramicandelaber brevisporus CBS 109374 v1.0	Rambr1_GeneCatalog_proteins_20140929.aa.fasta.gz		Mon Sep 29 23:32:02 PDT 2014
Proteins	Umbra1	download/Mucoraceae/Umbelopsis_ramanniana/Umbelopsis_ramanniana.Umbra1.v1.aa.fasta.gz	Umbelopsis ramanniana AG # v1.0	Umbra1_GeneCatalog_proteins_20121109.aa.fasta.gz	85085a7b1cf34b70e5cdeff3abb94647	Fri Nov 09 11:34:55 PST 2012
Proteins	Umbra1	download/Mucoraceae/Umbelopsis_ramanniana/Umbelopsis_ramanniana.Umbra1.v1.gff3.gz	Umbelopsis ramanniana AG # v1.0	Umbra1.filtered_proteins.FilteredModels1.gff3.gz		Tue Jul 08 20:01:46 PDT 2014
CDS	Bacci1	download/Thamnidiaceae/Backusella_circina/Backusella_circina.Bacci1.v1.CDS.fasta.gz	Backusella circina FSU 941 v1.0	Bacci1_GeneCatalog_CDS_20130730.fasta.gz	fa03e744585adbe230d764ba72521fc7	Tue Jul 30 14:18:15 PDT 2013
CDS	Coere1	download/Kickxellaceae/Coemansia_reversa/Coemansia_reversa.Coere1.v1.CDS.fasta.gz	Coemansia reversa NRRL 1564 v1.0	Coere1_GeneCatalog_CDS_20110909.fasta.gz	4a3319e9001dcd69a62a8d0095344662	Wed Mar 07 16:33:49 PST 2012
CDS	Conco1	download/Ancylistaceae/Conidiobolus_coronatus/Conidiobolus_coronatus.Conco1.v1.CDS.fasta.gz	Conidiobolus coronatus NRRL28638 v1.0	Conco1_GeneCatalog_CDS_20120213.fasta.gz	134e0841c5c07ad0b091005bd36f7c06	Wed Mar 07 16:34:09 PST 2012
CDS	Conth1	download/Ancylistaceae/Conidiobolus_thromboides/Conidiobolus_thromboides.Conth1.v1.CDS.fasta.gz	Conidiobolus thromboides FSU 785 v1.0	Conth1_GeneCatalog_CDS_20141003.fasta.gz		Fri Oct 03 05:27:07 PDT 2014
CDS	Gloin1	download/Glomeraceae/Rhizophagus_irregularis/Rhizophagus_irregularis.Gloin1.v1.CDS.fasta.gz	Rhizophagus irregularis DAOM 181602 v1.0	Gloin1_GeneCatalog_CDS_20120510.fasta.gz	baa68be8f0169b88c3cb4100d1138f0f	Thu May 10 09:28:01 PDT 2012
CDS	Lichy1	download/Lichtheimiaceae/Lichtheimia_hyalospora/Lichtheimia_hyalospora.Lichy1.v1.CDS.fasta.gz	Lichtheimia hyalospora v1.0	Lichy1_GeneCatalog_CDS_20130506.fasta.gz	295da4baf88661e5537861e1b272141e	Mon May 06 11:54:05 PDT 2013
CDS	Marpt1	download/Kickxellaceae/Martensiomyces_pterosporus/Martensiomyces_pterosporus.Marpt1.v1.CDS.fasta.gz	Martensiomyces pterosporus CBS 209.56 v1.0	Marpt1_GeneCatalog_CDS_20140919.fasta.gz		Fri Sep 19 14:59:11 PDT 2014
CDS	Morel1	download/Mortierellaceae/Mortierella_elongata/Mortierella_elongata.Morel1.v1.CDS.fasta.gz	Mortierella elongata v1.0	Morel1_GeneCatalog_CDS_20120920.fasta.gz	52469623cc6a95ffae4abb9382abbab5	Thu Sep 20 17:12:00 PDT 2012
CDS	Pipcy2	download/Piptocephalidaceae/Piptocephalis_cylindrospora/Piptocephalis_cylindrospora.Pipcy2.v2.CDS.fasta.gz	Piptocephalis cylindrospora v2.0	Pipcy2_GeneCatalog_CDS_20130828.fasta.gz	3abd1655ec7491867f72204c80fed1aa	Wed Aug 28 01:30:16 PDT 2013
CDS	Rambr1	download/Kickxellaceae/Ramicandelaber_brevisporus/Ramicandelaber_brevisporus.Rambr1.v1.CDS.fasta.gz	Ramicandelaber brevisporus CBS 109374 v1.0	Rambr1_GeneCatalog_CDS_20140929.fasta.gz		Mon Sep 29 23:32:07 PDT 2014
CDS	Umbra1	download/Mucoraceae/Umbelopsis_ramanniana/Umbelopsis_ramanniana.Umbra1.v1.CDS.fasta.gz	Umbelopsis ramanniana AG # v1.0	Umbra1_GeneCatalog_CDS_20121109.fasta.gz	905e4304b2ad5fd7205123e6061f8daa	Fri Nov 09 11:35:03 PST 2012
Transcripts	Mucci2	download/Mucoraceae/Mucor_circinelloides/Mucor_circinelloides.Mucci2.v2.CDS.fasta.gz	Mucor circinelloides CBS277.49 v2.0	Mucor_circinelloides_v2_filtered_transcripts.fasta.gz	4f87e73be0f3a3e10e2aa6d4a5c1d83f	Wed Mar 07 16:52:00 PST 2012
Transcripts	Phybl2	download/Phycomycetaceae/Phycomyces_blakesleeanus/Phycomyces_blakesleeanus.Phybl2.v2.CDS.fasta.gz	Phycomyces blakesleeanus NRRL1555 v2.0	Phycomyces_blakesleeanus_v2_filtered_transcripts.fasta.gz	6876fc3c098b30d1835f3072734e3bea	Wed Mar 07 16:56:13 PST 2012
